kanji,count
鋸,3
霹,3
靂,3
鮎,3
篇,3
冶,3
晰,3
猥,3
肛,3
燕,3
梳,3
瞥,3
釜,3
臍,3
讃,3
晋,3
艶,3
糞,3
曹,3
祷,3
佇,3
禄,3
填,3
瑞,3
亨,3
耗,3
臥,3
酋,3
瞼,3
賦,3
蹟,3
禿,3
腱,3
侘,3
淀,3
蕾,3
蔭,3
醒,3
蒙,3
怨,3
諮,3
蚕,3
聾,3
俸,3
鍮,3
鱒,3
緻,3
疇,3
郭,3
腑,3
儚,3
嘱,3
欒,3
媛,3
毀,3
痙,3
攣,3
鵞,3
鱗,3
祟,3
繍,3
榴,3
惧,3
湘,3
蛋,3
攫,3
臼,3
渓,3
寓,3
俊,3
賤,3
侃,3
諤,3
穣,3
拙,3
爲,3
閻,3
已,3
吽,3
擲,3
糠,3
菱,3
宥,2
芭,2
蕉,2
凱,2
萩,2
塑,2
嗤,2
娩,2
渚,2
巳,2
粟,2
吼,2
瑕,2
蔓,2
謁,2
逡,2
瀾,2
隼,2
舅,2
僻,2
燼,2
壺,2
眞,2
噓,2
訃,2
坪,2
痔,2
穢,2
喀,2
蝮,2
旱,2
諍,2
裡,2
羹,2
曙,2
褻,2
淫,2
柩,2
翳,2
於,2
吻,2
鰹,2
峙,2
鍼,2
卯,2
鱈,2
駱,2
駝,2
壱,2
淵,2
琥,2
珀,2
麿,2
輿,2
墺,2
蛸,2
楕,2
疵,2
咆,2
哮,2
恢,2
覿,2
犀,2
顰,2
羞,2
淳,2
俯,2
鯔,2
鳶,2
薩,2
榊,2
燈,2
澤,2
踵,2
簾,2
烙,2
箒,2
杜,2
艱,2
畿,2
蝉,2
窩,2
鎹,2
琢,2
誦,2
菩,2
竄,2
隕,2
跪,2
枷,2
磯,2
蜃,2
筑,2
葦,2
壕,2
雫,2
鉾,2
濠,2
睛,2
滲,2
鰌,2
扁,2
梟,2
痣,2
獰,2
浣,2
薫,2
遵,2
哨,2
粥,2
軋,2
茫,2
摺,2
鴎,2
抉,2
霞,2
稔,2
麒,2
麟,2
